COMMAND     PID                         USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
Managemen  3027                  acronis_ams  290u  IPv4  524115041      0t0  TCP 127.0.0.1:32662->127.0.0.1:30667 (ESTABLISHED)
arsm       3149                         root   12u  IPv4      45463      0t0  UDP 127.0.0.1:24100 
arsm       3149                         root   13u  IPv4      44279      0t0  UDP 127.0.0.1:24101 
arsm       3149                         root   14u  IPv4      44280      0t0  UDP 127.0.0.1:24102 
arsm       3149                         root   47u  IPv4       3752      0t0  TCP 127.0.0.1:15689 (LISTEN)
arsm       3149                         root   48u  IPv6      27009      0t0  TCP [::1]:11539 (LISTEN)
arsm       3149                         root   55u  IPv4      32493      0t0  TCP 127.0.0.1:15689->127.0.0.1:50136 (ESTABLISHED)
dsm_om_co  3193                         root   62u  IPv6      47722      0t0  TCP *:1311 (LISTEN)
api_gatew  3204                         root    3u  IPv6      41352      0t0  TCP *:9877 (LISTEN)
api_gatew  3204                         root    7u  IPv6 2027586409      0t0  TCP [::1]:9877->[::1]:22522 (ESTABLISHED)
api_gatew  3204                         root    8u  IPv4      51363      0t0  TCP 127.0.0.1:33834->127.0.0.1:30677 (ESTABLISHED)
cred-stor  3207                         root   10u  IPv4      36185      0t0  TCP 127.0.0.1:30667 (LISTEN)
cred-stor  3207                         root   11u  IPv4  524063678      0t0  TCP 127.0.0.1:30667->127.0.0.1:32662 (ESTABLISHED)
acronis_w  3209                  acronis_wcs   19u  IPv4      19436      0t0  TCP 127.0.0.1:30679 (LISTEN)
task_mana  3212                         root    8u  IPv4  524958431      0t0  TCP 127.0.0.1:30677->127.0.0.1:41938 (ESTABLISHED)
task_mana  3212                         root    9u  IPv4        539      0t0  TCP 127.0.0.1:30677 (LISTEN)
task_mana  3212                         root   12u  IPv4      20359      0t0  TCP 127.0.0.1:30677->127.0.0.1:33686 (ESTABLISHED)
task_mana  3212                         root   16u  IPv4      35775      0t0  TCP 127.0.0.1:30677->127.0.0.1:33794 (ESTABLISHED)
task_mana  3212                         root   17u  IPv4      21144      0t0  TCP 127.0.0.1:30677->127.0.0.1:33834 (ESTABLISHED)
task_mana  3212                         root   18u  IPv4      50341      0t0  TCP 127.0.0.1:30677->127.0.0.1:33896 (ESTABLISHED)
task_mana  3212                         root   25u  IPv4 2027643568      0t0  TCP 127.0.0.1:30677->127.0.0.1:33474 (ESTABLISHED)
task_mana  3212                         root   26u  IPv4 2027507473      0t0  TCP 127.0.0.1:30677->127.0.0.1:23022 (ESTABLISHED)
task_mana  3212                         root   27u  IPv4 2027553529      0t0  TCP 127.0.0.1:30677->127.0.0.1:30612 (ESTABLISHED)
task_mana  3212                         root   28u  IPv4 2027615283      0t0  TCP 127.0.0.1:30677->127.0.0.1:14078 (ESTABLISHED)
backup_ma  3214                         root    8u  IPv6      31258      0t0  TCP *:30685 (LISTEN)
backup_ma  3214                         root    9u  IPv6      26388      0t0  TCP 127.0.0.1:30685->127.0.0.1:64152 (ESTABLISHED)
backup_ma  3214                         root   10u  IPv6      26390      0t0  TCP 127.0.0.1:30685->127.0.0.1:64154 (ESTABLISHED)
backup_ma  3214                         root   11u  IPv6      40627      0t0  TCP 127.0.0.1:30685->127.0.0.1:64158 (ESTABLISHED)
backup_ma  3214                         root   12u  IPv4      40677      0t0  TCP 127.0.0.1:33686->127.0.0.1:30677 (ESTABLISHED)
backup_ma  3214                         root   13u  IPv6      41595      0t0  TCP 127.0.0.1:30685->127.0.0.1:64336 (ESTABLISHED)
backup_ma  3214                         root   14u  IPv6      41597      0t0  TCP 127.0.0.1:30685->127.0.0.1:64338 (ESTABLISHED)
backup_ma  3214                         root   15u  IPv6      42780      0t0  TCP 127.0.0.1:30685->127.0.0.1:64340 (ESTABLISHED)
backup_ma  3214                         root   16u  IPv6      56970      0t0  TCP 127.0.0.1:30685->127.0.0.1:64446 (ESTABLISHED)
backup_ma  3214                         root   17u  IPv6    6682696      0t0  TCP 127.0.0.1:30685->127.0.0.1:35478 (ESTABLISHED)
backup_ma  3214                         root   18u  IPv6   94911971      0t0  TCP 127.0.0.1:30685->127.0.0.1:24590 (ESTABLISHED)
backup_ma  3214                         root   25u  IPv6  524136707      0t0  TCP 127.0.0.1:30685->127.0.0.1:18732 (ESTABLISHED)
active_pr  3216                         root    8u  IPv4      19373      0t0  TCP 127.0.0.1:31009 (LISTEN)
vault_man  3219                         root    8u  IPv4      17046      0t0  TCP 127.0.0.1:30691 (LISTEN)
vault_man  3219                         root    9u  IPv4 2027637025      0t0  TCP 127.0.0.1:30691->127.0.0.1:36824 (ESTABLISHED)
catalog_m  3221                         root    7u  IPv4      27010      0t0  TCP 127.0.0.1:30692 (LISTEN)
account_s  3222                         root    9u  IPv4       4075      0t0  TCP 127.0.0.1:30678 (LISTEN)
scheduler  3225                         root    3u  IPv4      49183      0t0  TCP 127.0.0.1:30681 (LISTEN)
acronis_l  3228                   acronis_ls   20u  IPv4      35662      0t0  TCP 127.0.0.1:30443 (LISTEN)
acronis_l  3228                   acronis_ls   24u  IPv4       1987      0t0  TCP 127.0.0.1:30443->127.0.0.1:49484 (ESTABLISHED)
acronis_l  3228                   acronis_ls   26u  IPv4 2023821123      0t0  TCP 175.209.34.63:47192->91.198.51.132:443 (CLOSE_WAIT)
acronis_n  3230 acronis_notification_service   19u  IPv4      38561      0t0  TCP 127.0.0.1:30572 (LISTEN)
acronis_n  3230 acronis_notification_service   20u  IPv6      38562      0t0  TCP [::1]:30572 (LISTEN)
acronis_n  3230 acronis_notification_service   29u  IPv4      32491      0t0  TCP 127.0.0.1:44392->127.0.0.1:9851 (ESTABLISHED)
update_se  3287                         root    5u  IPv4      19377      0t0  TCP 127.0.0.1:23753 (LISTEN)
alert-man  3289                         root    8u  IPv4      44444      0t0  TCP 127.0.0.1:30630 (LISTEN)
alert-man  3289                         root    9u  IPv4      48563      0t0  TCP 127.0.0.1:30630->127.0.0.1:64992 (ESTABLISHED)
alert-man  3289                         root   10u  IPv4      45844      0t0  TCP 127.0.0.1:30630->127.0.0.1:65062 (ESTABLISHED)
alert-man  3289                         root   11u  IPv4       1989      0t0  TCP 127.0.0.1:30630->127.0.0.1:65194 (ESTABLISHED)
archive_s  3290                         root   13u  IPv6      45705      0t0  TCP *:2700 (LISTEN)
archive_s  3290                         root   14u  IPv6      45705      0t0  TCP *:2700 (LISTEN)
archive_s  3290                         root   15u  IPv6       4054      0t0  TCP *:2600 (LISTEN)
archive_s  3290                         root   16u  IPv6       4054      0t0  TCP *:2600 (LISTEN)
systemd-r  3296              systemd-resolve   12u  IPv4      20626      0t0  UDP 127.0.0.53:53 
systemd-r  3296              systemd-resolve   13u  IPv4      20627      0t0  TCP 127.0.0.53:53 (LISTEN)
jsvc       3465                         root  291u  IPv6      52251      0t0  TCP *:2424 (LISTEN)
jsvc       3465                         root  292u  IPv6       1968      0t0  TCP 127.0.0.1:2424->127.0.0.1:59624 (ESTABLISHED)
jsvc       3465                         root  400u  IPv6      50335      0t0  TCP 127.0.0.1:2424->127.0.0.1:59634 (ESTABLISHED)
jsvc       3465                         root  440u  IPv6      51364      0t0  TCP 127.0.0.1:2424->127.0.0.1:59636 (ESTABLISHED)
jsvc       3465                         root  783u  IPv6      36349      0t0  TCP 127.0.0.1:2424->127.0.0.1:59652 (ESTABLISHED)
jsvc       3465                         root  784u  IPv6      21150      0t0  TCP 127.0.0.1:2424->127.0.0.1:59656 (ESTABLISHED)
jsvc       3500                         root  293u  IPv6      44548      0t0  TCP 127.0.0.1:61618 (LISTEN)
jsvc       3500                         root  296u  IPv6        712      0t0  TCP 127.0.0.1:59624->127.0.0.1:2424 (ESTABLISHED)
jsvc       3500                         root  297u  IPv6       1970      0t0  TCP 127.0.0.1:59634->127.0.0.1:2424 (ESTABLISHED)
jsvc       3500                         root  298u  IPv6       1971      0t0  TCP 127.0.0.1:59636->127.0.0.1:2424 (ESTABLISHED)
jsvc       3500                         root  346u  IPv6      29240      0t0  TCP 127.0.0.1:59652->127.0.0.1:2424 (ESTABLISHED)
jsvc       3500                         root  349u  IPv6      29241      0t0  TCP 127.0.0.1:59656->127.0.0.1:2424 (ESTABLISHED)
jsvc       3500                         root  388u  IPv6      51368      0t0  TCP *:5700 (LISTEN)
jsvc       3500                         root  425u  IPv6      51384      0t0  TCP 127.0.0.1:9099 (LISTEN)
snmpd      3517                  Debian-snmp   11u  IPv4      36071      0t0  UDP 127.0.0.1:161 
snmpd      3517                  Debian-snmp   12u  IPv4      36069      0t0  UDP *:22197 
chronyd    3754                      _chrony    1u  IPv4      26159      0t0  UDP 127.0.0.1:323 
chronyd    3754                      _chrony    2u  IPv6      26160      0t0  UDP [::1]:323 
zabbix_ag  3828                       zabbix    4u  IPv4      47672      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3828                       zabbix    5u  IPv6      47673      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3847                       zabbix    4u  IPv4      47672      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3847                       zabbix    5u  IPv6      47673      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3848                       zabbix    4u  IPv4      47672      0t0  TCP *:10050 (LISTEN)
